4,133.29,4094.1,0.7,1.79,0.09,76.84,HBEFA3/PC_G_EU4,0,1305.86,veh2,61072226#0_0,65.61,10.93,!veh2!var#1,3.84,veh_passenger,0,23.737079,37.988908
4,145.33,5286.8,0.79,2.33,0.11,189.37,HBEFA3/PC_G_EU4,0,1686.26,veh3,260124785#3_1,68.89,12.05,!veh3!var#1,4.73,veh_passenger,0,23.730447,37.988483
4,0,1638.39,0,0.39,0,291.65,HBEFA3/PC_G_EU4,0,522.59,veh4,1033862865#0_0,63.59,18.21,!veh4!var#1,13.11,veh_passenger,0,23.712108,37.971939
4,0,0,0,0,0,5.25,HBEFA3/PC_G_EU4,0,0,veh5,-173493700#2_0,72.19,34.19,!veh5!var#1,29.09,veh_passenger,0,23.747641,37.971813
4,164.78,2624.72,0.81,1.2,0.07,77.1,HBEFA3/PC_G_EU4,0,837.22,veh6,50033135#1_0,55.94,5.1,!veh6!var#1,0,veh_passenger,0,23.736445,37.98981
4,14.14,2131.7,0.11,0.69,0.01,291.65,HBEFA3/PC_G_EU4,0,679.93,veh7,1033862865#0_0,62.22,5.1,!veh7!var#1,10.61,veh_passenger,0,23.712245,37.971892
5,28.88,14602.79,6.05,123.09,3,339.18,HBEFA3/Bus,0,4620.06,bus0,44463548_0,74.1,24.51,!bus0!var#1,4.2,bus_bus,0,23.71885,37.986065
5,22.77,8144.45,5.22,79.74,2.31,55.47,HBEFA3/Bus,0,2575.87,bus1,741245822#0_0,72.12,1.8,!bus1!var#1,1.43,bus_bus,0,23.737108,37.982949
5,20.17,5286.11,4.85,60.75,2.01,126.34,HBEFA3/Bus,0,1671.11,bus2,734712582#2_0,67.11,5.14,!bus2!var#1,0,bus_bus,0,23.713364,37.977221
5,0,0,0,0,0,239.25,HBEFA3/LDV_G_EU6,0,0,motorcycle0,48651788#0_0,62.54,54.49,!motorcycle0!var#1,12.72,motorcycle_motorcycle,0,23.714251,37.989593
5,45.72,2143.83,0.25,0.77,0.02,188.58,HBEFA3/PC_G_EU4,0,683.81,veh0,49292938#4_0,60.08,33.12,!veh0!var#1,7.51,veh_passenger,0,23.722762,37.988623
5,0,0,0,0,0,258.92,HBEFA3/PC_G_EU4,0,0,veh1,170644473_1,69.16,118.53,!veh1!var#1,24.48,veh_passenger,0,23.74864,37.974972
5,145.82,6361.74,0.82,2.79,0.13,76.85,HBEFA3/PC_G_EU4,0,2029.11,veh2,61072226#0_0,69.76,17.33,!veh2!var#1,6.39,veh_passenger,0,23.73715,37.988919
5,138.66,6411.16,0.78,2.8,0.13,189.37,HBEFA3/PC_G_EU4,0,2044.86,veh3,260124785#3_1,69.16,19.12,!veh3!var#1,7.07,veh_passenger,0,23.730432,37.988421
5,0,0,0,0,0,291.65,HBEFA3/PC_G_EU4,0,0,veh4,1033862865#0_0,55.52,27.06,!veh4!var#1,8.85,veh_passenger,0,23.712015,37.971971
5,88.88,6690.89,0.58,2.4,0.15,5.24,HBEFA3/PC_G_EU4,0,2134.09,veh5,-173493700#2_0,73.77,63.43,!veh5!var#1,29.24,veh_passenger,0,23.747681,37.972075
5,148.29,2920.66,0.74,1.31,0.07,77.1,HBEFA3/PC_G_EU4,0,931.6,veh6,50033135#1_0,62.25,6.42,!veh6!var#1,1.32,veh_passenger,0,23.73646,37.989812
